query,query_embedding_idx
backordered mean,0
gi doctor treat,1
many republican us senators,2
long ammonia blood level results take,3
airport code sendai japan,4
long magistrate warning kept,5
calcium carbonate used,6
american bullfrogs eat drink,7
long prior rain apply neem oil,8
admission cost rock roll hall fame,9
stop driving across parking lot,10
kind paint use outdoor outdoor planters,11
meaning night,12
401k ira,13
average salary nfl referees,14
reflex causes muscle relaxation lengthening response muscle tension called ________,15
many grams syrup tablespoon,16
mark zuckerman,17
check moles,18
women periods sync,19
cost tsa precheck program,20
meaning different types polyps colon,21
percentage withhold social security,22
need emancipation proclamation,23
med viibryd,24
forza horizon accurate,25
long warm car driving,26
much jay buy nets,27
alhe disease,28
type food tokyo,29
img academy open,30
liquor tax illinois,31
isleta ohio,32
grapeshot,33
jameis winston drafted,34
calories girl scout cookies,35
deduct use car moving,36
distance mile feet,37
definition digital wealth wellness,38
butalbital acetamin caff cod,39
founded nccu,40
goodlatte bill,41
venereal disease pictures symptoms,42
much put pacemaker,43
ie11 want allow website open app computer fix,44
time difference new zealand est,45
temperature bryn mawr pa,46
weather like asia,47
1935 policy neutrality favor,48
endangered animals iowa,49
apple pay,50
tall average grizzly bear cub,51
henri tobin,52
persons back turned painting,53
conduction mean,54
many moons makemake,55
causes planters warts bottom feet,56
victorinox luggage warranty,57
structure nucleus krypton 89,58
sweeping mean pregnancy,59
highest points western pa,60
con mean spanish,61
definition aid organization,62
antibiotic taken allergic penicillin,63
happened storm chaser joel taylor,64
hexcel uses kind fiber manufacturing process,65
doctor allowed refuse payments,66
benefits medicinal mushrooms,67
valacyclovir valacyclovir hcl,68
dexilant suppress cortisol levels,69
wd40,70
carpet fresh safe use,71
decline agreement,72
basal cell carcinoma deadly,73
exede customer care phone number,74
sung half half theme song,75
meaning word savant,76
actress plays jo wilson grey anatomy,77
wide margins mla,78
definition carnivores,79
masturbation affect program gym,80
gtac inc,81
comforting define,82
county copper harbor mi,83
season walking dead,84
antiepileptic,85
protostars,86
definition mat,87
simplify definition diamagnetism,88
tila respa integrated disclosure definition,89
rights granted magna carta,90
teams send playoff tickets season,91
double product heart unit,92
norwegian biggest ship,93
firestorm synonym,94
sleeping lot stroke normal,95
shrink swollen gum wisdom tooth removal,96
hebrew name milkah meaning,97
meaning medical term stat,98
many years college dentist,99
old newton discovered gravity,100
credit power llc,101
ways businessmen robber,102
shorthand referred,103
customer service number macy,104
often pass urine,105
phone number mercury insurance,106
percentage seniors metro areas,107
cellular junctions receptors maintain homeostasis,108
much power could make exercise bike,109
often fecal occult lab billed,110
parts eukaryotic gene transcribed,111
sings give heart break,112
iso mean camera,113
praziquantel dissolve parasites,114
election period allow beneficiary change plans,115
percentage water celery,116
hotel serves free cocktails,117
removes hair dye floors,118
long us president serve,119
rearrange windows 10 action center,120
great pyramid built,121
height calico critters,122
massachusetts pay sales tax clothing,123
rosa parks parents,124
uds directory,125
day homegoods get new delivery,126
burn calories sitting desk,127
south korea population 2016,128
eelgrass reproduce,129
kelly ripa co host today,130
causes women hot,131
ocean close granada spain,132
civil rights act 1964 speed process integration quizlet,133
included pns,134
first president,135
years shakira perform san antonio tx,136
areas dupage,137
make group presentation workplace,138
called feelings,139
viastone,140
average nascar pit crew salary,141
abaqis percentages mean,142
often rabies vaccine given dogs,143
dendrite,144
define open communication,145
intergraph employees,146
old john oliver,147
civil war start end,148
edie,149
structure located abdominal cavity,150
wild rabbits leave nest,151
bib lettuce wrap,152
long wait drink alcohol colonoscopy,153
hello alexis phone number amazon customer service,154
google version powerpoint,155
measured bmi,156
arkansas corporation late payment penalty,157
occurs disequilibrium check apply,158
telluride horror festival located telluride,159
kind skills clerk,160
piano type thing paul mccartney play hey jude,161
year call duty start,162
purpose buttermilk baking,163
tysh short women name,164
average cost daycare austin tx,165
many calories burn sitting hour,166
parasympathetic innervation,167
meaning polyglot,168
earle haas sell tampon idea,169
elements successful recruiting strategy,170
calculate median wage,171
language spoken haiti,172
tools used measure mass object,173
ashford estate,174
beech street capital llc merge,175
schools offer astronaut programs,176
benefits bac triangle post reticle,177
professor sabi,178
tamal mean spanish,179
turtle mtns formed,180
